,,,,,,
,Line ID,Script,Length,,,
,362,Keno-Paayena Laghunaa Vishnur-Nama Saha-Skrakam,47,,,
,363,Patyate Pamditeh Nityam Shortu Michha Myaham Prabho,51,,,
,364,Eshwara Uvacha,14,,,
,365,Shree-Rama Ram Rameti Rame Raame Mano-Rame,42,,,
,366,Saha-Sranaama Tattulyam Raama-Naama Varaa-Nane,46,,,
,367,(Read the above 2 lines 2 more times),37,,,
,368,Raama-Naama Varaa-Nana Om Nama Iti,34,,,
,369,Bramho Uvacha,13,,,
,370,Namo Stvana-Ntaya Saha-Sramurtaye,33,,,
,371,Saha-Srapaa-Dak- shi Shiroru-Bahave,35,,,
,372,Saha-Sranaamne Puru-Shaya Shashvate,35,,,
,373,Saha-Srakoti-Yuga-Dha- rine Namah,33,,,
,374,Saha-Srakoti Yuga-Dharina Om Nama Iti,37,,,
,375,Sanjaya Uvacha,14,,,
,376,Yatra Yoge-Shvarah Krushno Yatra Paardho Dhanur-Dharah,54,,,
,377,Tatra-Shreeh Vijayo Bhutih Dhruva Neetih Mati Rmama,51,,,
,378,Shree Bhagawan Uvacha,21,,,
,379,Ananya-Schanta-Yanto Mam Ye Janaah Paryu-Panate,47,,,
,380,Tesham Nitya-Bhiyuktanaam Yoga-Kshemam Vaha-Myaham,50,,,
,381,"Parithrayana Sadhunam Vinasaya Cha Dushkritham,",47,,,
,382,Dharma Samsthapanarthaya Sambhavami Yuge Yuge,45,,,
,383,Aartha-Vishanna-Shithila-S- chabhitah Ghoreshucha-Vyadhi-Varthamanah-,70,,,
,384,Samkeertya-Narayana-Shabda-Mat- ram Vimukta-Duhghah-Sukhino-Bhavan- ti,70,,,
,385,Kayena-Vaacha Mana-Sendhriyerva,31,,,
,386,Buddhyatma-Na- avaa Prakrute-Swabhawat,38,,,
,387,Karomi Yadyat Sakalam Parasmai,30,,,
,388,Naaraa-Yanayeti Samarpayami,27,,,
,389,Sarvam Shree-Krishnar-Panamastu,31,,,
