,,,,,,
,Line ID,Script,Length,,,
,85,"Chand- ranana Chathurbahum Sreevatsangitha Vakshasam,",53,,,
,86,Rukmani Satyabhamabhyam Sahitham Krishnamasraye.,48,,,
,87,Vishnu Sahasranamam Stotra Lyrics,33,,,
,88,Om Vishvam Vishnur-Vashatkaro Bhuta-Bhavya-Bhavat-Prabhuh,57,,,
,89,Bhu- takrud Bhutabhrud Bhavo Bhutatma Bhuta-Bhavanah,52,,,
,90,Putatma Paramatma Cha Muktanam Parama Gatih,43,,,
,91,Avyayah Purusha Sakshi Kshetrajno-Kshara Eva Cha,48,,,
,92,Yogo Yogavidam Neta Pradhana-Purushesvarah,42,,,
,93,Narasimh- a-Vapu Shriman Kesavah Purushottamah,46,,,
,94,Sarvah Sarvah Sivah Sthanur-Bhutadir-Nidhir-Avyaya- h,53,,,
,95,Sambhavo Bhavano Bharta Prabhavah Prabhur-Isvarah,49,,,
,96,Svayambhuh Sambhur-Adityah Pushkaraksho Mahasvanah,50,,,
,97,Anandi-Nidhano Dhata Vidhata Dhaturuttamah,42,,,
,98,Aprameyo Hrishikesah Padma-Nabho-Mara-Prabhuh,45,,,
,99,Visvak- arma Manustvashta Sthavishtah Sthaviro-Dhruvah,54,,,
,100,Agrahyah Sasvatah Krishno Lohitakshah Pratardanah,49,,,
,101,Prabhutas-Trikakubd- hama Pavitram Mangalam Param,49,,,
,102,Isanah Pranadah Prano Jyeshthah Sreshthah Prajapatih,52,,,
,103,Hiranyagarbho Bhugarbho Madhavo Madhusudanah,44,,,
,104,Ishvaro Vikrami Dhanvi Medhavi Vikramah Kramah,46,,,
,105,Anuttamo Duradharsah Krutajnah Krutiratmavan,44,,,
,106,Suresah Sharanam Sharma Vishvaretah Prajabhavah,47,,,
,107,Ahah Samvasaro Vyalah Pratyayah Sarvadarshanah,46,,,
,108,Ajah Sarveshvarah Siddhah Siddhih Sarvadir Acyutah,50,,,
,109,Vrushakapir Ameyatma Sarva-Yoga-Vinihshrutah,44,,,
,110,Vasur Vasumanah Satyah Samatma Sammitah Samah,45,,,
,111,Amoghah Pundarikaksho Vrusha-Karma Vrushakrutih,47,,,
,112,Rudro Bahushira Babhrur Vishva-Yonih Shuchi Sravah,50,,,
,113,Amrutah Shashvata-Sthanur Vararoho Maha-Tapah,45,,,
,114,Sarvagah Sarva-Vid-Bhanur Vishvaksheno Janardanah,49,,,
,115,Vedo Vedavid Avyango Vedango Vedavit Kavih,42,,,
,116,Lokadhyakshah Suradhyaksho Dharmadhyakshah Krutakrutah,54,,,
,117,Chaturatma Chaturvyuhas Chaturdamstras Chatur-Bhujah,52,,,
,118,Bhrajishnur-Bhoja- nam Bhokta Sahishnur Jagad-Adhijah,53,,,
,119,Anagho Vijayo Jeta Vishva-Yonih Punar-Vasuh,43,,,
,120,Upendro Vamanah Pramshur Amoghah Suchir Urjitah,47,,,
,121,Atindrah Samgrahah Sargo Dhrutatma Niyamo Yamah,47,,,
,122,Vedyo Vaidyah Sada-Yogi Viraha Madhavo Madhuh,45,,,
,123,Atindriyo Mahamayo Mahotsaho Mahabalah,38,,,
,124,Mahabuddir Mahaviryo Mahasaktir Mahadyutih,42,,,
,125,Anirdesyavapuh Shriman Ameyatma Mahadridhruk,44,,,
,126,Maheshvaso Mahibharta Shrinivasah Satam Gatih,45,,,
,127,Aniruddhah Suranando Govindo Govidam Patih,42,,,
,128,Marichir-Damano Hamsah Suparno Bhujagottamah,44,,,
,129,Hiranya-Nabha Sutapah Padmanabhah Prajapatih,44,,,
,130,Amrutyuh Sarva-Druk Simhah Sandhata Sandhiman Sthirah,53,,,
,131,Ajo Durmarshanah Shasta Vishrutatma Surariha,44,,,
,132,Gurur Gurutamo Dhama Satyah Satya-Parakramah,44,,,
,133,Nimisho Animishah Sragvi Vachaspatir Udaradhih,46,,,
,134,Agranir Gramanih Shriman Nyayo Neta Samiranah,45,,,
,135,Sahsra-Murdha Vishvatma Sahasraksha Sahasrapat,46,,,
,136,Avrtano Nivrutatma Samvrutah Sampramardanah,43,,,
,137,Ahah Samvartako Vahnir Anilo Dharani-Dharah,43,,,
,138,Suprasadah Prasannatma Vishva-Dhrug Vishva-Bhug Vibhuh,54,,,
,139,Sat-Karta Sat-Krutah Sadhur Jahnur Narayano Narah,49,,,
,140,Asankhyeyo Prameyatma Visistah Shishtakruch Chucih,50,,,
,141,Siddharthah Siddha-Sankalpah Siddhidah Siddhisadhanah,53,,,
,142,Vrushahi Vrushabho Vishnur Vrushaparva Vrushodarah,50,,,
,143,Vardhano Vardhamanascha Viviktah Shruti-Sagarah,47,,,
,144,Subhujo Durdharo Vagmi Mahendro Vasodo Vasuh,44,,,
,145,Naikarupo Bruhad-Rupah Shipivishtah Prakashana,46,,,
,146,Ojas Tejo Dyuti-Dharah Prakashatma Pratapanah,45,,,
,147,Vruddhah Spahstaksharo Mantras Chandramshur Bhaskaradyutih,58,,,
,148,Amrtamshu Dbhavo Bhanuh Shashabinduh Sureshvarah,48,,,
,149,Aushadham Jagatah Setuh Satya-Dharma-Prarakramah,48,,,
,150,Bhuta-- Bhavya-Bhavan-Nathah Pavanah Pavano Analah,50,,,
,151,Kamaha Kamakrut Kantah Kamah Kamapradah Prabhuh,47,,,
,152,Yugadikrud Yugavarto Naikamayo Mahashanah,41,,,
,153,Adrushyo Vyakta-Rupascha Sahasrajid Anantajit,45,,,
,154,Ishtovishistah Shishtestah Sikhandi Nahusho Vrushah,51,,,
,155,Krodhaha Krodhakrut Karta Vishva-Bahur Mahidharah,49,,,
,156,Achyutah Prathitah Pranah Pranado Vasavanujah,45,,,
,157,Apam-Nidhir Adhishthanam Apramattah Pratishtitah,48,,,
,158,Skandah Skanda-Dharo Dhuryo Varado Vayuvahanah,46,,,
,159,Vashudevo Bruhad-Bhanur Adidevah Purandarah,43,,,
,160,Ashokas-Taranas-Tara- h Surah Saurir Janeshvarah,48,,,
